WmoStationNumber,StationNameThai,StationNameEnglish,Province,Latitude,Longitude,DateTime,MeanSeaLevelPressure(mb),Temperature(celcius),MaxTemperature(celcius),DifferentFromMaxTemperature(celcius),MinTemperature(celcius),DifferentFromMinTemperature(celcius),RelativeHumidity(%),WindDirection(degree),WindSpeed(km/h),Rainfall(mm)
48464,ราชบุรี,RATCHA BURI,ราชบุรี,13.48931,99.79239,2025-06-11 07:00,1006.05,27.5,34.9,0.4,26.9,1.4,73,290,3,0.01
48425,สุพรรณบุรี,SUPHAN BURI,สุพรรณบุรี,14.47444,100.13889,2025-06-11 07:00,1005.63,28.2,35.5,-1.1,27.0,0.6,77,090,4,0.00
48427,อู่ทอง สกษ.,U THONG AGROMET.,สุพรรณบุรี,14.30361,99.86472,2025-06-11 07:00,1005.81,28.2,35.2,-1.0,26.7,0.6,88,230,10,0.00
48426,ลพบุรี,LOP BURI,ลพบุรี,14.79972,100.64500,2025-06-11 07:00,1005.20,27.5,34.7,-0.7,25.7,-0.1,81,210,2,0.00
48418,บัวชุม,BUA CHUM,ลพบุรี,15.26667,101.18736,2025-06-11 07:00,1005.05,27.8,35.9,-2.1,26.2,1.6,82,250,2,0.00
48457,นำร่อง,PILOT STATION,สมุทรปราการ,13.39389,100.59944,2025-06-11 07:00,1005.28,28.3,32.4,-0.6,27.5,-0.5,85,200,8,0.00
48420,สมุทรปราการ สกษ.,Samut Prakarn,สมุทรปราการ,13.51667,100.76167,2025-06-11 07:00,1005.29,29.0,32.6,-0.2,28.8,2.1,75,250,8,0.00
48429,สนามบินสุวรรณภูมิ,SUVARNABHUMI AIRPORT,สมุทรปราการ,13.68639,100.76750,2025-06-11 07:00,1005.98,27.9,33.2,-0.1,26.5,-0.8,93,270,4,0.00
48430,ปราจีนบุรี,PRACHIN BURI,ปราจีนบุรี,14.05842,101.36930,2025-06-11 07:00,1005.08,28.0,34.9,0.1,27.2,1.8,88,000,0,2.00
48439,กบินทร์บุรี,KABIN BURI,ปราจีนบุรี,13.98333,101.70722,2025-06-11 07:00,1005.06,27.0,33.7,-0.8,26.7,0.5,92,,,0.00
48431,นครราชสีมา,NAKHON RATCHASIMA,นครราชสีมา,14.96830,102.08603,2025-06-11 07:00,1004.57,27.5,34.3,-2.4,26.9,1.1,82,280,3,0.00
48435,ปากช่อง สกษ.,PAKCHONG AGROMET.,นครราชสีมา,14.64389,101.33194,2025-06-11 07:00,1005.23,26.2,32.1,-1.1,25.5,2.3,76,250,13,0.00
48434,โชคชัย,CHOK CHAI,นครราชสีมา,14.71889,102.16861,2025-06-11 07:00,1004.71,27.0,34.3,-2.7,26.3,0.6,84,240,4,0.00
48432,สุรินทร์,SURIN,สุรินทร์,14.88333,103.50000,2025-06-11 07:00,1005.31,26.7,34.4,-1.1,25.8,0.3,96,000,0,2.30
48433,สุรินทร์ สกษ.,SURIN AGROMET.,สุรินทร์,14.88333,103.45000,2025-06-11 07:00,1004.92,26.7,33.9,-1.3,26.0,0.8,97,000,0,1.40
48416,ท่าตูม,THA TUM,สุรินทร์,15.31667,103.68333,2025-06-11 07:00,1004.29,27.0,34.7,0.5,23.5,-1.4,90,120,2,24.60
48437,บุรีรัมย์,BURIRUM,บุรีรัมย์,15.22575,103.24808,2025-06-11 07:00,1005.17,25.0,35.5,0.9,24.2,-0.3,96,000,0,4.40
48436,นางรอง,NANG RONG,บุรีรัมย์,14.58333,102.80000,2025-06-11 07:00,1004.67,26.1,33.6,-1.1,25.2,1.0,83,240,2,4.00
48438,สมุทรสงคราม,SAMUTSONGKRAM,สมุทรสงคราม,13.40778,100.03222,2025-06-11 07:00,1005.40,28.5,34.2,0.4,27.9,0.3,75,280,3,0.00
48462,อรัญประเทศ,ARANYA PRATHET,สระแก้ว,13.70000,102.58333,2025-06-11 07:00,1004.93,27.7,34.2,-1.8,26.9,0.0,90,000,0,2.80
48440,สระแก้ว,SA KAEW,สระแก้ว,13.78889,102.03472,2025-06-11 07:00,1004.98,27.1,33.2,-2.3,26.7,0.2,95,000,0,1.60
48450,กาญจนบุรี,KANCHANA BURI,กาญจนบุรี,14.02250,99.53583,2025-06-11 07:00,1005.73,28.0,35.1,-0.7,25.2,0.7,72,030,3,0.00
48421,ทองผาภูมิ,THONG PHAPHUM,กาญจนบุรี,14.74222,98.63639,2025-06-11 07:00,1007.16,25.0,31.8,-2.4,24.6,-0.5,94,000,0,1.50
48451,นครปฐม,NAKHONPATHOM,นครปฐม,14.01167,99.97000,2025-06-11 07:00,1005.73,27.2,35.0,-0.7,26.6,0.9,87,210,2,0.00
48455,กรุงเทพมหานคร,BANGKOK METROPOLIS,กรุงเทพมหานคร,13.72639,100.56000,2025-06-11 07:00,1004.99,28.5,34.3,0.8,28.2,0.3,76,250,3,0.00
48454,กรุงเทพฯ ท่าเรือคลองเตย,BANGKOK PORT (KLONG TOEI),กรุงเทพมหานคร,13.70694,100.56805,2025-06-11 07:00,1005.43,28.7,34.8,1.2,28.4,0.4,76,000,0,0.00
48453,กรุงเทพฯ บางนา สกษ.,BANG NA AGROMET.,กรุงเทพมหานคร,13.66639,100.60611,2025-06-11 07:00,1005.26,29.2,34.6,1.1,28.6,0.4,69,330,3,0.00
48456,สนามบินดอนเมือง,DON MUANG AIRPORT,กรุงเทพมหานคร,13.91917,100.60500,2025-06-11 07:00,1006.03,28.8,34.2,1.3,28.4,0.7,58,250,7,0.00
48459,ชลบุรี,CHON BURI,ชลบุรี,13.36667,100.98333,2025-06-11 07:00,1005.09,29.5,34.1,-0.1,27.2,0.2,78,270,6,0.00
48460,เกาะสีชัง,KO SICHANG,ชลบุรี,13.16167,100.80194,2025-06-11 07:00,1005.30,29.5,35.2,1.4,25.8,-0.2,68,250,4,0.00
48461,พัทยา,PHATTHAYA,ชลบุรี,12.92000,100.86944,2025-06-11 07:00,1005.42,29.0,33.0,0.8,27.8,-0.5,71,250,7,0.00
48477,สัตหีบ,SATTAHIP,ชลบุรี,12.68333,100.98333,2025-06-11 07:00,1005.17,29.0,33.5,0.2,28.4,0.4,74,250,6,0.00
48463,แหลมฉบัง,LAEM CHABANG,ชลบุรี,13.07694,100.87583,2025-06-11 07:00,1006.26,28.5,32.5,0.1,27.8,-0.7,72,290,7,0.00
48465,เพชรบุรี,PHETCHA BURI,เพชรบุรี,12.99944,100.06056,2025-06-11 07:00,1005.82,28.0,32.8,-0.4,24.5,-0.9,70,,,0.00
48478,ระยอง,RAYONG,ระยอง,12.63222,101.34361,2025-06-11 07:00,1005.74,29.6,32.5,0.5,29.4,-0.1,74,270,10,0.00
48479,ห้วยโป่ง สกษ.,HUAI PONG AGROMET.,ระยอง,12.73500,101.13500,2025-06-11 07:00,1005.14,28.0,33.5,0.9,27.5,0.8,81,240,3,0.00
48480,จันทบุรี,CHANTHA BURI,จันทบุรี,12.61667,102.11333,2025-06-11 07:00,1005.47,26.9,32.5,1.2,25.0,-2.4,94,000,0,55.70
48481,พลิ้ว สกษ.,PHLIU  AGROMET.,จันทบุรี,12.50861,102.17305,2025-06-11 07:00,1005.59,25.0,31.8,0.8,24.5,-1.0,97,220,2,36.00
48500,ประจวบคีรีขันธ์,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,11.83333,99.83333,2025-06-11 07:00,1006.00,27.2,32.8,-2.3,26.4,-0.3,77,270,6,0.00
48475,หัวหิน,HUA HIN,ประจวบคีรีขันธ์,12.58611,99.96250,2025-06-11 07:00,1006.18,27.8,35.4,-1.4,27.3,0.1,79,180,2,0.00
48474,หนองพลับ สกษ.,NONG PHLUB AGROMET.,ประจวบคีรีขันธ์,12.58333,99.73333,2025-06-11 07:00,1006.30,25.5,33.5,-4.0,25.0,0.4,88,000,0,0.00
48501,ตราด,TRAD,ตราด,11.76667,102.88333,2025-06-11 07:00,1005.88,26.3,32.2,1.6,25.5,0.4,93,320,8,21.90
48517,ชุมพร,CHUMPHON,ชุมพร,10.49875,99.18847,2025-06-11 07:00,1005.94,26.4,32.1,-0.2,26.2,1.2,92,000,0,11.30
