WmoStationNumber,StationNameThai,StationNameEnglish,Province,Latitude,Longitude,DateTime,MeanSeaLevelPressure(mb),Temperature(celcius),MaxTemperature(celcius),DifferentFromMaxTemperature(celcius),MinTemperature(celcius),DifferentFromMinTemperature(celcius),RelativeHumidity(%),WindDirection(degree),WindSpeed(km/h),Rainfall(mm)
48440,สระแก้ว,SA KAEW,สระแก้ว,13.78889,102.03472,2025-06-11 07:00:00,1004.98,27.1,33.2,-2.3,26.7,0.2,95,0.0,0.0,1.6
48450,กาญจนบุรี,KANCHANA BURI,กาญจนบุรี,14.0225,99.53583,2025-06-11 07:00:00,1005.73,28.0,35.1,-0.7,25.2,0.7,72,30.0,3.0,0.0
48421,ทองผาภูมิ,THONG PHAPHUM,กาญจนบุรี,14.74222,98.63639,2025-06-11 07:00:00,1007.16,25.0,31.8,-2.4,24.6,-0.5,94,0.0,0.0,1.5
48451,นครปฐม,NAKHONPATHOM,นครปฐม,14.01167,99.97,2025-06-11 07:00:00,1005.73,27.2,35.0,-0.7,26.6,0.9,87,210.0,2.0,0.0
48455,กรุงเทพมหานคร,BANGKOK METROPOLIS,กรุงเทพมหานคร,13.72639,100.56,2025-06-11 07:00:00,1004.99,28.5,34.3,0.8,28.2,0.3,76,250.0,3.0,0.0
48454,กรุงเทพฯ ท่าเรือคลองเตย,BANGKOK PORT (KLONG TOEI),กรุงเทพมหานคร,13.70694,100.56805,2025-06-11 07:00:00,1005.43,28.7,34.8,1.2,28.4,0.4,76,0.0,0.0,0.0
48453,กรุงเทพฯ บางนา สกษ.,BANG NA AGROMET.,กรุงเทพมหานคร,13.66639,100.60611,2025-06-11 07:00:00,1005.26,29.2,34.6,1.1,28.6,0.4,69,330.0,3.0,0.0
48456,สนามบินดอนเมือง,DON MUANG AIRPORT,กรุงเทพมหานคร,13.91917,100.605,2025-06-11 07:00:00,1006.03,28.8,34.2,1.3,28.4,0.7,58,250.0,7.0,0.0
48459,ชลบุรี,CHON BURI,ชลบุรี,13.36667,100.98333,2025-06-11 07:00:00,1005.09,29.5,34.1,-0.1,27.2,0.2,78,270.0,6.0,0.0
48460,เกาะสีชัง,KO SICHANG,ชลบุรี,13.16167,100.80194,2025-06-11 07:00:00,1005.3,29.5,35.2,1.4,25.8,-0.2,68,250.0,4.0,0.0
48461,พัทยา,PHATTHAYA,ชลบุรี,12.92,100.86944,2025-06-11 07:00:00,1005.42,29.0,33.0,0.8,27.8,-0.5,71,250.0,7.0,0.0
48477,สัตหีบ,SATTAHIP,ชลบุรี,12.68333,100.98333,2025-06-11 07:00:00,1005.17,29.0,33.5,0.2,28.4,0.4,74,250.0,6.0,0.0
48463,แหลมฉบัง,LAEM CHABANG,ชลบุรี,13.07694,100.87583,2025-06-11 07:00:00,1006.26,28.5,32.5,0.1,27.8,-0.7,72,290.0,7.0,0.0
48465,เพชรบุรี,PHETCHA BURI,เพชรบุรี,12.99944,100.06056,2025-06-11 07:00:00,1005.82,28.0,32.8,-0.4,24.5,-0.9,70,,,0.0
48478,ระยอง,RAYONG,ระยอง,12.63222,101.34361,2025-06-11 07:00:00,1005.74,29.6,32.5,0.5,29.4,-0.1,74,270.0,10.0,0.0
